record_id,rater_id,transcript_id,seed_id,guardrail,profile,comment
433,12,MDD-AI-SIMULATION-TX-0001,S01,G0,P1,"least_convincing: problém so zaspávaním. celkový obraz skôr imitioval vyhorenie s miernymi príznakmi depresie | missing_or_exaggerated: otázka na to, čo pacientke robí dobre, čo by potrebovala"
434,12,MDD-AI-SIMULATION-TX-0002,S02,G0,P1,"least_convincing: problém so zaspávaním | missing_or_exaggerated: otázka na to, čo by pacientka potrebovala, čo by jej pomohlo"
435,12,MDD-AI-SIMULATION-TX-0003,S03,G0,P1,least_convincing: Nekonzistencia muzskeho rodu pri otazke a zenskeho rodu pri odpovediach | missing_or_exaggerated: Nie
436,12,MDD-AI-SIMULATION-TX-0004,S04,G0,P1,"least_convincing: Zdoraznrnie, že nema umysrl si ublížiť | missing_or_exaggerated: Nie"
437,12,MDD-AI-SIMULATION-TX-0005,S05,G0,P1,"least_convincing: doslovný preklad z angličtiny, napr. ""nízka nálada"" = low mood
nesúlad v mužšsom a ženskom rode | missing_or_exaggerated: nie"
438,12,MDD-AI-SIMULATION-TX-0006,S06,G0,P1,least_convincing: nič | missing_or_exaggerated: nie
439,12,MDD-AI-SIMULATION-TX-0007,S07,G0,P1,least_convincing: nič | missing_or_exaggerated: nič
440,12,MDD-AI-SIMULATION-TX-0008,S08,G0,P1,least_convincing: nič | missing_or_exaggerated: nič
505,10,MDD-AI-SIMULATION-TX-0001,S01,G0,P1,"least_convincing: Otázka za otázkou,  za mňa osobne, klient sa mohol cítiť ako na ""výsluchu"", chýba možno viac náklonnosti a zo strany odborníka aby sa klient cítil pochopený a bezpečne v rámci vzťahu. | missing_or_exaggerated: Otázky miestami pôsobili ako keby mali ""mechanický charakter""."
649,13,MDD-AI-SIMULATION-TX-0001,S01,G0,P1,"least_convincing: Participantka pomerne dobre naskočila na štruktúru rozhovoru a nemala obzvlášť veľkú tendenciu rozvinúť rozhovor svojím smerom, hoci jej odpovede boli úplné, vždy smerovali k položenej otázke. | missing_or_exaggerated: Interviewer sa nespýtal či takéto ťažkosti vo svojom živote rozpoznáva, či sa to participantovi už niekedy v minulosti stalo pri väčšej záťaži. Na základe tohto rozhovoru by som bola skôr opatrná s vyjadrením diagnózy depresie."
650,13,MDD-AI-SIMULATION-TX-0002,S02,G0,P1,"least_convincing: V jednej z odpovedí ku koncu rozhovoru boli neznáme znaky. | missing_or_exaggerated: Niektoré otázky pôsobili sugestívne, čo vyvolávalo dojem, že participant si tú zmenu všimol len na základe upozornenia interviewera."
651,13,MDD-AI-SIMULATION-TX-0003,S03,G0,P1,"least_convincing: Možno ten koniec rozhovoru, kedy participantka odpovedala, že nemá plán ani úmysel trochu uberá na vierohodnosti. | missing_or_exaggerated: Neprimerane pôsobil koniec rozhovoru, kedy participantkina odpoveďou pôsobila trochu zvláštne."
652,13,MDD-AI-SIMULATION-TX-0004,S04,G0,P1,"least_convincing: V úvode rozhovoru participantove odpovede pôsobili zmätočne - menej sa zapája, no nie je to vidieť. Pôsobí to zvláštne, nepresvedčivo. | missing_or_exaggerated: Chýbalo overenie či je to naozaj depresivitou alebo by to mohlo byť i niečo iné."
653,13,MDD-AI-SIMULATION-TX-0005,S05,G0,P1,"least_convincing: Typ odpovede pôsobí ako preložený z cudzieho jazyka. V slovenčine sa niektoré zvraty bežne nepoužívajú takto. Porozumie im druhý, no pôsobí to divne. | missing_or_exaggerated: Toto sa týka asi zatiaľ každého rozhovoru a to, či sa niečo  v tom obdobím pred x týždňami stalo."
654,13,MDD-AI-SIMULATION-TX-0006,S06,G0,P1,"least_convincing: V časti, kde je participant dotazovaný na náladu spomenie, že nevybuchuje, že má ťažkú náladu. | missing_or_exaggerated: Viac by som sa popýtala na to či sa vo svojom živote nepreťažoval."
655,13,MDD-AI-SIMULATION-TX-0007,S07,G0,P1,"least_convincing: Koniec rozhovoru kedy participantka vraví že sa musí vracať skontrolovať či niečo dokončila, to by mohlo naznačovať možno iný klinický obraz a zbytočne zmiasť. | missing_or_exaggerated: Nič."
656,13,MDD-AI-SIMULATION-TX-0008,S08,G0,P1,least_convincing: Participant si vravel v ženskom aj mužskom rode. | missing_or_exaggerated: Chýbalo overenie iného zdravotného problému.
657,13,MDD-AI-SIMULATION-TX-0009,S09,G0,P1,"least_convincing: Ťažkosti klientky pôsobia, že majú príčinu len v pracovnej oblasti. | missing_or_exaggerated: Nič."
658,13,MDD-AI-SIMULATION-TX-0010,S10,G0,P1,least_convincing: Nič. | missing_or_exaggerated: Nič.
659,13,MDD-AI-SIMULATION-TX-0011,S11,G0,P1,"least_convincing: Koniec rozhovoru, kedy sa interviewer pýta na myšlienky na samovraždu, participantka odpovedá aj o úmysle. Uberá to na prirodzenosti. | missing_or_exaggerated: Nič nebolo prehnané."
660,13,MDD-AI-SIMULATION-TX-0012,S12,G0,P1,least_convincing: Začiatok rozhovoru bol skvelý. Ku koncu to spelo k automatizmom. | missing_or_exaggerated: Nič nepôsobilo neprimerane.
661,13,MDD-AI-SIMULATION-TX-0013,S01,G1,P3,"least_convincing: Participanti sú v týchto rozhovoroch zhovorčiví v zmysle, že poskytnú úplnú odpoveď. Znižuje to vierohodnosť obzvlášť v depresívnej symptomatike. | missing_or_exaggerated: Nič, okrem už predtým spomenutého."
