record_id,rater_id,transcript_id,seed_id,guardrail,profile,variant_id,backend_model,target_turns,actual_turns,rating_duration_sec,g1,g2,g3,g4,g5,a1,a2,a3,a4,a5,a6,a7,a8,a9,s1,s2,r1,r2,r3,r4,r5,guessed_origin,guess_confidence,comment,chat_variability,created_at,transcript_path,a1_anchor,a2_anchor,a3_anchor,a4_anchor,a5_anchor,a6_anchor,a7_anchor,a8_anchor,a9_anchor,s1_anchor,s2_anchor,target_severity_label,functional_impact_label,notes.x,profession,specialization,years_practice,experience_with_mdd,notes.y,plausibility_index,defect_index,a1_error,a2_error,a3_error,a4_error,a5_error,a6_error,a7_error,a8_error,a9_error,symptom_error_mean,severity_error,impact_error
433,12,MDD-AI-SIMULATION-TX-0001,S01,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,137,4,2,4,3,2,2,2,3,1,1,3,2,2,0,2,2,2,2,2,4,2,human_simulated,3,"least_convincing: problém so zaspávaním. celkový obraz skôr imitioval vyhorenie s miernymi príznakmi depresie | missing_or_exaggerated: otázka na to, čo pacientke robí dobre, čo by potrebovala",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0001.txt,2,2,2,1,1,2,2,2,0,3,3,moderate,moderate,"Obraz je ukotvený nízkou náladou, anhedóniou, únavou, poruchou spánku, vinou a zhoršenou koncentráciou s dopadom na školu a sociálny život. | Nejde len o bežný stres zo štúdia; chýba mánia, psychóza, intoxikácia aj izolovaný problém s jedením.",psychologist,psychotherapy,16_plus,weekly,interview_experience=regular; ai_experience=medium; confidence_mdd=5; n_ratings=8,3.6666666666666665,2.4,0,0,1,0,0,1,0,0,0,0.2222222222222222,1,1
434,12,MDD-AI-SIMULATION-TX-0002,S02,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,69,3,3,4,4,3,2,2,3,2,2,3,2,2,0,2,2,2,2,2,4,2,human_simulated,3,"least_convincing: problém so zaspávaním | missing_or_exaggerated: otázka na to, čo by pacientka potrebovala, čo by jej pomohlo",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0002.txt,1,2,2,1,1,3,1,2,0,3,3,moderate,moderate,"Obraz presahuje bežnú smennosť, lebo okrem únavy je prítomná anhedónia, skleslosť, vina, zhoršená koncentrácia a sociálne stiahnutie. | Nejde len o poruchu spánku alebo pracovné preťaženie; chýba mánia, psychóza a primárny vplyv návykových látok.",psychologist,psychotherapy,16_plus,weekly,interview_experience=regular; ai_experience=medium; confidence_mdd=5; n_ratings=8,3.6666666666666665,2.4,1,0,1,1,1,0,1,0,0,0.5555555555555556,1,1
435,12,MDD-AI-SIMULATION-TX-0003,S03,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,42,148,3,2,4,4,3,3,3,3,2,2,3,3,2,1,3,3,2,4,2,2,2,ai_generated,4,least_convincing: Nekonzistencia muzskeho rodu pri otazke a zenskeho rodu pri odpovediach | missing_or_exaggerated: Nie,locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0003.txt,2,2,2,1,1,3,2,2,1,4,4,moderately_severe,severe,"Obraz je depresívne ukotvený nízkou náladou, anhedóniou, výraznou únavou, poruchou spánku, vinou, zhoršenou koncentráciou a jasným dopadom doma aj v práci. | Nejde len o burnout alebo preťaženie; prítomné sú jadrové depresívne symptómy aj pasívne myšlienky na smrť bez plánu a bez úmyslu.",psychologist,psychotherapy,16_plus,weekly,interview_experience=regular; ai_experience=medium; confidence_mdd=5; n_ratings=8,3.6666666666666665,2.4,1,1,1,1,1,0,1,0,0,0.6666666666666666,1,1
436,12,MDD-AI-SIMULATION-TX-0004,S04,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,38,89,4,4,4,2,4,2,2,3,0,1,3,2,2,0,2,2,2,2,2,4,2,human_simulated,3,"least_convincing: Zdoraznrnie, že nema umysrl si ublížiť | missing_or_exaggerated: Nie",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0004.txt,1,2,2,0,1,2,1,2,0,3,3,moderate,moderate,"Okrem pracovného tlaku je prítomná anhedónia, znížená nálada, porucha spánku, únava, slabšia koncentrácia a odpojenie vo vzťahu. | Nejde len o pracovné vyhorenie alebo nespokojnosť v práci; chýba mánia, psychóza aj izolovaná úzkosť bez depresívneho jadra.",psychologist,psychotherapy,16_plus,weekly,interview_experience=regular; ai_experience=medium; confidence_mdd=5; n_ratings=8,3.3333333333333335,2.4,1,0,1,0,0,1,1,0,0,0.4444444444444444,1,1
437,12,MDD-AI-SIMULATION-TX-0005,S05,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,36,97,4,2,4,4,3,3,3,3,2,2,3,2,2,1,3,3,2,2,2,2,2,ai_generated,5,"least_convincing: doslovný preklad z angličtiny, napr. ""nízka nálada"" = low mood
nesúlad v mužšsom a ženskom rode | missing_or_exaggerated: nie",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0005.txt,2,2,2,1,1,3,1,2,0,3,3,moderate,moderate,"Obraz je ukotvený nízkou náladou, anhedóniou, nespavosťou, výraznou únavou, slabšou koncentráciou a funkčným poklesom doma aj v práci. | Nejde len o finančný stres alebo reakciu na rozvod; symptómy sú perzistentné, viacrozmerné a klinicky depresívne.",psychologist,psychotherapy,16_plus,weekly,interview_experience=regular; ai_experience=medium; confidence_mdd=5; n_ratings=8,4,2,1,1,1,1,1,0,1,0,1,0.7777777777777778,0,0
438,12,MDD-AI-SIMULATION-TX-0006,S06,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,36,46,4,4,4,4,4,2,2,3,1,2,3,1,2,0,2,3,1,1,2,1,1,NA,NA,least_convincing: nič | missing_or_exaggerated: nie,locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0006.txt,1,2,2,0,1,3,1,2,0,3,3,moderate,moderate,"Nejde len o obyčajnú pracovnú únavu, lebo je prítomná anhedónia, skleslosť, porucha spánku, spomalenie, zhoršená koncentrácia a dlhodobý pokles energie. | Obraz je širšie depresívny, nie len somatický alebo pracovný; chýba mánia, psychóza aj závislostný kontext.",psychologist,psychotherapy,16_plus,weekly,interview_experience=regular; ai_experience=medium; confidence_mdd=5; n_ratings=8,4,1.2,1,0,1,1,1,0,0,0,0,0.4444444444444444,1,0
439,12,MDD-AI-SIMULATION-TX-0007,S07,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,50,4,4,4,4,3,3,3,2,1,2,3,1,1,0,2,2,4,3,2,1,1,NA,NA,least_convincing: nič | missing_or_exaggerated: nič,locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0007.txt,2,2,1,1,1,2,1,1,0,3,3,moderate,moderate,"Obraz tvorí skleslá nálada, strata záujmu, únava, mierna nespavosť a sociálne stiahnutie po strate rytmu a blízkosti. | Nejde len o bežné ovdovenie alebo starnutie; symptómy sú sústavné, depresívne ladené a funkčne obmedzujúce.",psychologist,psychotherapy,16_plus,weekly,interview_experience=regular; ai_experience=medium; confidence_mdd=5; n_ratings=8,4,2.2,1,1,1,0,1,1,0,0,0,0.5555555555555556,1,1
440,12,MDD-AI-SIMULATION-TX-0008,S08,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,34,4,4,4,4,4,2,2,1,0,2,3,1,1,0,3,2,2,2,2,2,2,NA,NA,least_convincing: nič | missing_or_exaggerated: nič,locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0008.txt,1,2,1,0,1,2,0,1,0,2,2,mild,mild,"Ide o mierny, ale ucelený depresívny obraz s anhedóniou, utlmením, nižšou energiou a slabšou koncentráciou. | Nejde len o nudu po dôchodku; depresívny obraz je síce mierny, ale konzistentný a nie je prítomná mánia, psychóza ani kognitívny syndróm.",psychologist,psychotherapy,16_plus,weekly,interview_experience=regular; ai_experience=medium; confidence_mdd=5; n_ratings=8,4,2,1,0,0,0,1,1,1,0,0,0.4444444444444444,1,0
505,10,MDD-AI-SIMULATION-TX-0001,S01,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,545,3,2,3,3,4,2,2,3,1,1,3,2,2,0,3,4,3,4,2,3,2,ai_generated,3,"least_convincing: Otázka za otázkou,  za mňa osobne, klient sa mohol cítiť ako na ""výsluchu"", chýba možno viac náklonnosti a zo strany odborníka aby sa klient cítil pochopený a bezpečne v rámci vzťahu. | missing_or_exaggerated: Otázky miestami pôsobili ako keby mali ""mechanický charakter"".",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0001.txt,2,2,2,1,1,2,2,2,0,3,3,moderate,moderate,"Obraz je ukotvený nízkou náladou, anhedóniou, únavou, poruchou spánku, vinou a zhoršenou koncentráciou s dopadom na školu a sociálny život. | Nejde len o bežný stres zo štúdia; chýba mánia, psychóza, intoxikácia aj izolovaný problém s jedením.",psychologist,clinical_psychology,3_5,weekly,interview_experience=occasional; ai_experience=none; confidence_mdd=5; n_ratings=1,3,2.8,0,0,1,0,0,1,0,0,0,0.2222222222222222,0,1
